"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Post modern distributed systems [keynote address]","N. Shiratori",NA,Proceedings 1997 International Conference on Parallel and Distributed Systems,"6 Aug 2002","1997","","","684","684","Summary form only given, as follows. With the increasing speed of computers and communication linlts, and the successful convergence of both fields, computers connected by high speed links now represent an enormously large distributed computing system. However, current information distributed system architectures are too rigid to cope with heterogeneity, inaccuracy and inflexibility of the real world requirements. In order to overcome such limitations, in this talk, we present Post Modem Distributed System based on Flexible Network using the concept of Flexible Computing proposed by the authors. We first give the outline of the Flexible Computing and the basic architecture of Flexible Network based on multi-agent systems. Then the characteristics of Modem Distributed Systems based on Flexible Network will be discussed. As application examples, we will show a virtual office and flexible video conference system.","","0-8186-8227-2","10.1109/ICPADS.1997.652616","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=652616","","Distributed computing;Computer architecture;Modems;Computer networks;Convergence;Multiagent systems;Teleworking;Videoconference","","4","","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Hierarchical Deep Reinforcement Learning With Experience Sharing for Metaverse in Education","R. Hare; Y. Tang","Department of Electrical and Computer Engineering, Rowan University, Glassboro, NJ, USA; Institute of Smart Education, Qingdao Academy of Intelligent Industries, Qingdao, China","IEEE Transactions on Systems, Man, and Cybernetics: Systems","16 Mar 2023","2023","53","4","2047","2055","Metaverse has gained increasing interest in education, with much of literature focusing on its great potential to enhance both individual and social aspects of learning. However, little work has been done to address the systems and technologies behind providing meaningful Metaverse learning. This article proposes a technical framework to address this research gap, where a hierarchical multiagent reinforcement learning approach with experience sharing is developed to augment the intelligence of nonplayer characters in Metaverse learning for personalization. The utility and benefits of the proposed framework and methodologies are demonstrated in Gridlock, a Metaverse learning game, as well as through extensive simulations.","2168-2232","","10.1109/TSMC.2022.3227919","National Science Foundation(grant numbers:1913809); U.S. Department of Education Graduate Assistance in Areas of National Need (GAANN)(grant numbers:P200A180055); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9994611","ACP;experience sharing;metaverse learning;reinforcement learning (RL)","Metaverse;Task analysis;Education;Neural networks;Cybernetics;Games;Convergence","","32","","47","CCBY","20 Dec 2022","","","IEEE","IEEE Journals"
"CS Freiburg: coordinating robots for successful soccer playing","T. Weigel; J. . -S. Gutmann; M. Dietl; A. Kleiner; B. Nebel","Albert Ludwig University, Germany; Digital Creatures Laboratory, Sony Corporation, Tokyo, Japan; Albert Ludwig University, Germany; Albert Ludwig University, Germany; Albert Ludwig University, Germany",IEEE Transactions on Robotics and Automation,"10 Dec 2002","2002","18","5","685","699","Robotic soccer is a challenging research domain because many different research areas have to be addressed in order to create a successful team of robot players. The paper presents the CS Freiburg team, the winner in the middle-size league at RoboCup 1998, 2000, and 2001. The paper focuses on multiagent coordination for both perception and action. The contributions of the paper are new methods for tracking ball and players observed by multiple robots, team coordination methods for strategic team formation and dynamic role assignment; a rich set of basic skills allowing robots to respond to a large range of situations in an appropriate way, and an action-selection method based on behavior networks, as well as a method to learn the skills and their selection. As demonstrated by evaluations of the different methods and by the success of the team, these methods permit the creation of a multirobot group which is able to play soccer successfully. In addition, the developed methods promise to advance the state of the art in the multirobot field.","2374-958X","","10.1109/TRA.2002.804041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1067991","","Robot kinematics;Robot sensing systems;Artificial intelligence;Mobile robots;Intelligent robots;Robot vision systems;Humans;Wireless communication;Associate members;Multiagent systems","","97","","40","IEEE","10 Dec 2002","","","IEEE","IEEE Journals"
"Innovative Web-lecturing technology: towards open learning environments","V. Uskov","Bradley University, Peoria, IL, USA",Proceedings ITCC 2003. International Conference on Information Technology: Coding and Computing,"7 May 2003","2003","","","32","36","The InterLabs state-of-the-art Web-lecturing tool for online education has been designed, developed, and tested at the InterLabs Research Institute at Bradley University, Peoria, IL, as a part of the National Science Foundation's CCLI-EMD grant # 0196015. It is based on active utilization of innovative software engineering, streaming multimedia, communication, teaching, and learning and information technologies. Student formative and summative evaluations and academic performance clearly demonstrated the advantages of the innovative online courseware based on Web-lecturing technology. This technology along with reusable learning objects (including SCORM, IEEE LTSC, IMS and Dublin Core standards for learning objects), multiagent technology, intelligent tutoring systems, new developments in instructional design, XML, PHP and other programming languages lead towards a new generation of virtual learning environments - open, learner-centered, knowledge-driven, intelligent, agent-based, collaborative, interactive open learning environments (OLE).","","0-7695-1916-4","10.1109/ITCC.2003.1197495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1197495","","Streaming media;Intelligent agent;Testing;Software engineering;Multimedia communication;Education;Information technology;Courseware;Standards development;Intelligent systems","","2","","9","IEEE","7 May 2003","","","IEEE","IEEE Conferences"
"AI's 10 to Watch","D. L. Waltz","Center for Computational Learning Systems, Columbia University",IEEE Intelligent Systems,"30 May 2006","2006","21","3","5","14","The recipients of the IEEE Intelligent Systems 10 to Watch award--Eyal Amir, Regina Barzilay, Jennifer Golbeck, Tom Griffiths, Steve Gustafson, Carsten Lutz, Pragnesh Jay Modi, Marta Sabou, and Richard A. Watson--discuss their current research and their visions of AI for the future. This article is part of a special issue on the Future of AI.","1941-1294","","10.1109/MIS.2006.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1637344","artificial intelligence;human-level AI;linguistics;social networks;human cognition;genetic programming;description logics;multiagent coordination;the Semantic Web;algorithmic biology","Artificial intelligence;Watches;Computer science;Robot control;World Wide Web;Machine learning;Intelligent systems;Learning systems;Decision making;Problem-solving","","","","","IEEE","30 May 2006","","","IEEE","IEEE Magazines"
"Replanning-Oriented Framework for Efficient Real-Time Decision-Making in Multi-UAV Systems","X. Hai; L. Tan; Q. Feng; H. Duan; C. Wen","School of Reliability and Systems Engineering, Beihang University, Beijing, China; Institute for Manufacturing Department of Engineering, University of Cambridge, Cambridge, U.K.; School of Reliability and Systems Engineering, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Industrial Informatics,"16 Jun 2025","2025","21","7","5127","5137","Efficient real-time decision-making for long-term multiple unmanned aerial vehicles (multi-UAV) missions in geo-distributed environments requires an integrated approach to manage dynamic task demands. We propose a hierarchical dual-layer decision-making framework for multi-UAV mission replanning. The upper layer optimizes multi-UAV deployment using the density-constrained K-medoids clustering and simulated annealing algorithm, achieving globally optimal solutions. The lower layer addresses task assignment via the goal-oriented belief space multiagent reinforcement learning algorithm, which leverages updated belief distributions to mitigate sparse reward and enhance training efficiency. Coordination between the two layers ensures comprehensive coverage of predefined demands while adapting to dynamic events. The effectiveness of the proposed methods is validated through a real-world case study using the 911 call dataset from city emergency services.","1941-0050","","10.1109/TII.2025.3549789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10955756","Decision-making;multiagent reinforcement learning (MARL);multiple unmanned aerial vehicles (multi-UAV);replanning","Heuristic algorithms;Real-time systems;Decision making;Clustering algorithms;Autonomous aerial vehicles;Training;Drones;Convergence;Simulated annealing;Resource management","","","","40","IEEE","8 Apr 2025","","","IEEE","IEEE Journals"
"CARAVAN: Congestion Avoidance and Route Allocation Using Virtual Agent Negotiation","P. Desai; S. W. Loke; A. Desai; J. Singh","La Trobe University, Melbourne, VIC, Australia; La Trobe University, Melbourne, VIC, Australia; La Trobe University, Melbourne, VIC, Australia; La Trobe University, Melbourne, VIC, Australia",IEEE Transactions on Intelligent Transportation Systems,"29 Aug 2013","2013","14","3","1197","1207","Traffic congestion becomes a cascading phenomenon when vehicles from a road segment chaotically spill on to successive road segments. Such uncontrolled dispersion of vehicles can be avoided by evenly distributing vehicles along alternative routes. This paper proposes a practical multiagent-based approach, which is designed to achieve acceptable route allocation within a short time frame and with low communication overheads. In the proposed approach, which is called Congestion Avoidance and Route Allocation using Virtual Agent Negotiation (CARAVAN), vehicle agents (VAs) in the local vicinity communicate with each other before designated decision points (junctions) along their route. Cooperative route-allocation decisions are performed at these junctions. VAs use intervehicular communication to propagate key traffic information and undertake its distributed processing. Every VA exchanges its autonomously calculated route preference information to arrive at an initial allocation of routes. The allocation is improved using a number of successive virtual negotiation “deals.” The virtual nature of these deals requires no physical communication and, thereby, reduces communication requirements. In addition to the theory and concept, this paper presents the design and implementation methodology of CARAVAN, including experimental results for synthetic and real-world road networks. Results show that when compared against the shortest path algorithm for travel time improvements, CARAVAN offers 21%-43% gain (when traffic demand is below network capacity) and 13%-17% gain (when traffic demand exceeds network capacity), demonstrating its ability to regulate overall system traffic using local coordination strategies.","1558-0016","","10.1109/TITS.2013.2256420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6507596","Cooperative systems;dynamic traffic assignment;multiagent systems (MAS);traffic congestion management","Vehicles;Resource management;Roads;Indexes;Vehicle dynamics;Real-time systems;Software","","47","","26","IEEE","24 Apr 2013","","","IEEE","IEEE Journals"
"A Multi-agent Approach Toward the Security Analysis of the 802.11i Handshake Protocol","R. Guha; Z. Furqan; S. Muhammad","School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, USA; School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, USA; School of Electrical Engineering and Computer Science, University of Central Florida, Orlando, USA",2007 2nd International Symposium on Wireless Pervasive Computing,"16 Apr 2007","2007","","","","","Wireless mesh networks (WMNs) are now increasingly deployed because of their low up-front cost, easy network maintenance, robustness, and reliable self coverage. It is important to guarantee the security properties of the WMN to ensure a desired secure system. In this paper, we formally verify the authentication of a WMN. We start with translating a WMN into a multi-agent system (MAS), where each node represents an agent of the MAS. The purpose is to benefit from the existing state-of-the-art verification techniques applicable in the multi-agent domain. We then prove the authentication property of the WMN. Our contributions include: translating a wireless mesh network into a formal multi-agent framework, representing the authentication property as MAS's formal specification, and applying the strand system verification strategy to prove the correctness of MAS's authentication","","1-4244-0522-X","10.1109/ISWPC.2007.342639","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4147098","","Security;Protocols;Peer to peer computing;Mesh networks;Authentication;Wireless mesh networks;Computer science;Multiagent systems;Wireless LAN;Formal verification","","2","","26","IEEE","16 Apr 2007","","","IEEE","IEEE Conferences"
"MDSM: Generalized multiagent coordination for demand side management","A. Veit","Department of Computer Science, Cornell University, Ithaca, New York",2015 IEEE International Conference on Smart Grid Communications (SmartGridComm),"21 Mar 2016","2015","","","73","78","One key challenge in creating a sustainable society is to make consumer demand adaptive to the supply of electricity. We propose a generalization for the multiagent coordination algorithm for partially-centralized demand side management. In this setting, a central unit buys the electricity for the whole group, while the individual agents make their own demand decisions, based on their private constraints and preferences. While the state-of-the-art algorithm achieves strong guarantees, i.e., efficiency, strict budget balance as well as weak incentive compatibility, the formulation requires a simple supply model with a 2-step increasing threshold price function. In this paper, we propose MDSM, a generalized formulation of the multiagent coordination algorithm and prove that it converges to the optimal solution for all convex piecewise linear cost functions. Further, we perform simulations based on real world consumption data to evaluate the scalability of the algorithm in respect to the number of thresholds. The results indicate that the convergence time of MDSM is not sensitive to the number of thresholds in the cost function. This means, the proposed algorithm could be used for a broader set of distributed scheduling problems.","","978-1-4673-8289-2","10.1109/SmartGridComm.2015.7436279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7436279","","Smart grids;Cost function;Convergence;Load management;Companies;Optimal scheduling;Conferences","","2","","14","IEEE","21 Mar 2016","","","IEEE","IEEE Conferences"
"Distributed Pursuit-Evasion Game of Limited Perception USV Swarm Based on Multiagent Proximal Policy Optimization","F. Li; M. Yin; T. Wang; T. Huang; C. Yang; W. Gui","School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China; School of Automation, Central South University, Changsha, China","IEEE Transactions on Systems, Man, and Cybernetics: Systems","17 Sep 2024","2024","54","10","6435","6446","This article proposes a distributed capture strategy optimization method for the pursuit-evasion game involving multiple unmanned surface vehicles. Considering the limited perception range of each pursuer, a multiagent proximal policy optimization method combined with a novel velocity control mechanism is utilized to guide the pursuers in approaching the evader and form a dynamic encirclement. Moreover, to facilitate deep reinforcement learning (DRL) training, a bidirectional gated recurrent unit feature network is constructed to extract the fixed-length vector representations from the variable-length observation sequences. In terms of the policy training, by employing virtual barriers and curriculum learning techniques during the training process, the generalization capabilities and convergence speed of the policy have been further improved. Finally, our method is compared with the other DRL methods through the comparative simulation experiments and virtual reality scene testing based on the gazebo three dimensional physics engine, verifying its significant advantages in the policy convergence speed, capture efficiency, and generalization capabilities.","2168-2232","","10.1109/TSMC.2024.3429467","National Key Research and Development Program of China(grant numbers:2022ZD0119603); National Science Fund for Excellent Young Scholars of China(grant numbers:62222317); Major Science and Technology Projects in Hunan Province(grant numbers:2021GK1030); Key Research and Development Program of Hunan Province(grant numbers:2023GK2023); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10614719","Curriculum learning;deep reinforcement learning (DRL);pursuit-evasion (PE) game;unmanned surface vehicle (USV) swarm","Underactuated surface vessels;Games;Training;Task analysis;Vehicle dynamics;Vectors;Kinematics","","5","","27","IEEE","30 Jul 2024","","","IEEE","IEEE Journals"
