"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Collaborative shopping based on multi-agent in virtual environments","Zhigeng Pan; Bing Xu; Mingming Zhang; Hongwei Yang","State Key Laboratory of CAD&CG, University of Zhejiang, Hangzhou, China; State Key Laboratory of CAD&CG, University of Zhejiang, Hangzhou, China; State Key Laboratory of CAD&CG, University of Zhejiang, Hangzhou, China; State Key Laboratory of CAD&CG, University of Zhejiang, Hangzhou, China",8th International Conference on Computer Supported Cooperative Work in Design,"8 Nov 2004","2004","2","","386","391 Vol.2","Existing e-commerce applications on the Internet provide the users a relatively simple, browser-based interface to access available products. Customers are not provided with the realistic shopping experience as they would in an actual store or mall. So This work presents a collaborative shopping system based on multiagent that can provide the customers with simulation of the shopping experience in a real world. With the creation and application of the avatar in the 3D virtual shopping mall, the customers can change their role from ""hollow-man"" to human. By the combination of the sociality with virtual environment, the system can not only imitates realistic communication among special customers who are favorable to the same products but also realize the communication between multiple avatars.","","0-7803-7941-1","10.1109/CACWD.2004.1349219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1349219","","Collaboration;Collaborative work;Avatars;Internet;Humans;Virtual environment;Space technology;Computer networks;Collaborative software;Navigation","","","1","11","IEEE","8 Nov 2004","","","IEEE","IEEE Conferences"
"Analysis of the Virtual Enterprise Partner Selection Based on Multi-agent System","Z. Yang; H. Lin","Business School, Tianjin University of Finance and Economics, Tianjin, China; Business School, Tianjin University of Finance and Economics, Tianjin, China",2008 International Conference on Computer Science and Software Engineering,"22 Dec 2008","2008","2","","516","519","Todaypsilas world, virtual enterprise is regarded as the most competitive management model of enterprises that face the resource of the globe. How to select the best partner enterprise is a key section of the whole process of virtual enterprise creation. This paper proposed an instructor of remote manufacturing system supporting dynamic alliance for virtual enterprises with the multi-agent technology to solve the problem of partner enterprise selections.","","978-0-7695-3336-0","10.1109/CSSE.2008.1613","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4722105","Virtual Enterprise (VE);Partner Selection;Multi-Agent System;Analytic Hierarchy Process (AHP)","Virtual enterprises;Multiagent systems;Resource management;Computer science;Software engineering;Business;Finance;Conference management;Financial management;Engineering management","","1","","10","IEEE","22 Dec 2008","","","IEEE","IEEE Conferences"
"Research on multi-agent system based trust model of partner selection of virtual enterprise","W. Shixian; W. Siying","School of Management, Huazhong University of Science and Technology, China; School of Management, Huazhong University of Science and Technology, China",2009 First International Conference on Networked Digital Technologies,"29 Sep 2009","2009","","","512","514","Virtual enterprise is the outcome of fierce competition in the world market. The selection of partners is one of the key factors for the success of virtual enterprises. Multi-agent system is an incompact agent federation composed of many agents, with its characteristics identical to virtual enterprises. It is, therefore, reasonable and effective to apply to the selection of enterprises' partner. The issue of trust is a hot topic in multi-agent system. The present trust model cannot well solve the problem of identifying the initial trust value of applicant agents. Moreover, there is room for improvement as to the calculation of agent trust value. This study puts forward a new trust management model based on multi-agent system. In the model, a fuzzy algorithm is used to calculate the initial value of the agent instead of a static definition. In addition, an independent validation module is used to test information reliability. Therefore, the problems of identifying initial trust value can be solved. Through system simulation, it is noted that based on the trust management model the cooperation rate has been enhanced and individual agent's income has risen by a big margin.","2155-8736","978-1-4244-4614-8","10.1109/NDT.2009.5272209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5272209","Multi-Agent System;Virtual Enterprise;Partner Selection;Trust Model","Multiagent systems;Virtual enterprises;History;Information management;Feedback;Technology management;Testing;Fuzzy systems;Authorization;Production","","1","","5","IEEE","29 Sep 2009","","","IEEE","IEEE Conferences"
"Model and Optimization of Collaborative Logistics System In Agent-based Agile Virtual Enterprises","J. Meixian; J. Shousong; X. Qiuxiang; G. Haiqing; F. Dingzhong","Zhejiang University of Technology, Hangzhou, Zhejiang, CN; Zhejiang University of Technology, Hangzhou, Zhejiang, CN; Zhejiang University of Technology, Hangzhou, Zhejiang, CN; Zhejiang University of Technology, Hangzhou, Zhejiang, CN; Zhejiang University of Technology, Hangzhou, Zhejiang, CN",2007 International Conference on Service Systems and Service Management,"30 Jul 2007","2007","","","1","4","On the basis of analyzing the framework of collaborative logistics system in agile virtual enterprise (AVE), according to the craft work chain of product in agile virtual enterprise (AVE), the three-dimension evolution model is developed. Combining dynamic programming with MATLAB on machining tasks and logistics resources on the craft work chain of product are discussed. The purpose is to make reasonable use of world resources and to quickly collocate all kinds of resources, and to response to the need of customers in the way of efficient collaboration by means of virtual network according to the product task, and to improve the agility.","2161-1904","1-4244-0884-9","10.1109/ICSSSM.2007.4280201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4280201","Agile virtual enterprise;multi-agent system;collaborative logistics;modeling","Collaboration;Logistics;Virtual enterprises;Companies;Mathematical model;Agile manufacturing;Databases;Laboratories;Manufacturing automation;Multiagent systems","","","","8","IEEE","30 Jul 2007","","","IEEE","IEEE Conferences"
"Simulating a Multi-Agent UAV System Coordinated by State Machines Using Godot","L. Howard; F. Lin; H. Leung","School of computing and Information Systems, Athabasca University, Canada; School of computing and Information Systems, Athabasca University, Canada; Schulich School of Engineering, University of Calgary, Calgary, Canada",2024 IEEE Smart World Congress (SWC),"24 Mar 2025","2024","","","2273","2279","Unmanned aerial vehicles have advanced quickly and are now a dominant force in several domains, including military, security, and even logistics. 3D simulations with virtual environments are cost effective tools for assessing feasibility and costs of developing new systems or upgrading current systems. This is especially true for multiagent or swarm systems that require many agents working in concert. The total costs can be much higher when only physical prototypes are used for testing and analysis. There are existing 3D libraries for aiding with UAV simulations, but they’re too specialized; it is difficult to create highly customized virtual environments with these packages. A simulation development framework needs to be capable and stable for accurate simulations yet generalized enough that any types of simulations can be developed without exhausting efforts. This paper explores the feasibility and ease of using Godot, an open-source game engine, to develop a simulation that can assess the function of a multiagent UAV system. It is found that the Godot engine is a powerful tool that is both accurate and generalized enough to develop highly customizable UAV simulation. This allows verification and testing of UAV designs and control algorithms in highly customizable and flexible virtual environments, using a free open-sourced tool.","2993-396X","979-8-3315-2086-1","10.1109/SWC62898.2024.00346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10924963","component; 3D Virtual Environments;Multiagent Systems;Unmanned Aerial Vehicles","Solid modeling;Adaptation models;Three-dimensional displays;Costs;Accuracy;Virtual environments;Autonomous aerial vehicles;Libraries;Engines;Testing","","","","19","IEEE","24 Mar 2025","","","IEEE","IEEE Conferences"
"UTSAF: a multi-agent-based framework for supporting military-based distributed interactive simulations in 3D virtual environments","Manojlovich; Prasithsangaree; Hughes; Jinlin Chen; Lewis","School of Information Science, University of Pittsburgh, Pittsburgh, PA, U.S.A; School of Information Science, University of Pittsburgh, Pittsburgh, PA, U.S.A; School of Information Science, University of Pittsburgh, Pittsburgh, PA, U.S.A; School of Information Science, University of Pittsburgh, Pittsburgh, PA, U.S.A; School of Information Science, University of Pittsburgh, Pittsburgh, PA, U.S.A","Proceedings of the 2003 Winter Simulation Conference, 2003.","30 Jan 2004","2003","1","","960","968 Vol.1","A military-based distributed interactive simulation (DIS) such as ModSAF has been used for many years. Several problems of the DIS-based simulation to support a large and heterogeneous virtual simulation environments have been discovered. To solve these problems, we propose an architectural multi-agent-based framework to support a large military-based simulation with 3D visualization using inexpensive game simulators. several software agents are used to support interoperability between DIS-based military simulation nodes and unreal tournament game simulators. A software agent is used to reduce DIS traffic to efficiently utilize network bandwidth. It also performs protocol conversion between DIS protocol and a game engine protocol. Additionally, using a multi-agent system, our work is easily expandable to support several network environments and also to support agent-based intelligent operations. Our main contribution is twofold. We use multi-agent system which is scalable to support our framework. In addition, our framework builds a simulation bridge that enables affordable high-quality 3D viewer node using affordable game simulations for military simulations.","","0-7803-8131-9","10.1109/WSC.2003.1261517","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1261517","","Virtual environment;Protocols;Software agents;Multiagent systems;Visualization;Telecommunication traffic;Traffic control;Bandwidth;Engines;Intelligent agent","","22","1","20","IEEE","30 Jan 2004","","","IEEE","IEEE Conferences"
"Supporting collaborative virtual meetings using multi-agent systems","P. Thompson; R. Iqbal; A. James","Distributed System and Modeling Research Group, Coventry University, UK; Distributed System and Modeling Research Group, Coventry University, UK; Distributed System and Modeling Research Group, Coventry University, UK",2009 13th International Conference on Computer Supported Cooperative Work in Design,"26 May 2009","2009","","","276","281","In an increasingly sophisticated global business environment there is often a need to be able to bring together professionals from all types of organizations from all over the world. Those professionals operate under severe time constraints and a conventional face-to-face meeting is both impractical and expensive. Virtual meetings have proved to be a convenient alternative, offering a flexible meeting domain more suitable for the busy executive. This paper explores the concept of using a peer-to-peer network and multi-agent systems to facilitate virtual meetings, managing the artifacts required for the session. By the use of a laptop, PDA or similar electronic device the meeting participant can join the meeting and collaborate in the discussion.","","978-1-4244-3534-0","10.1109/CSCWD.2009.4968071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4968071","Virtual Meetings;Peer-to-Peer;Multi-agent systems;Collaboration","Multiagent systems;Virtual prototyping;Collaborative work;Peer to peer computing;Teleconferencing;Distributed computing;International collaboration;Time factors;Portable computers;Personal digital assistants","","5","","18","IEEE","26 May 2009","","","IEEE","IEEE Conferences"
"Designing and Deploying Real World Multiagent Systems Using Hardware in the Simulation Loop: An Approach and a Tool","J. -P. Jamont; M. Occello","University of Grenoble LCIS, Valence, France; University of Grenoble LCIS, Valence, France",2010 22nd IEEE International Conference on Tools with Artificial Intelligence,"17 Dec 2010","2010","2","","368","369","Designing a real world complex system requires to use decentralized artificial intelligence. Such a system involves self-organization techniques, advanced interaction models, real-time architectures... To simplify the design step, it can be necessary to reproduce the behavior of the whole designed system in a virtual environment before to deploy the designed application on the real world devices. In such a deployment, the used models must be degraded in respect with device constraints (memory, CPU) and other physical constraints (thermal dissipation, energy consumption...). This paper proposes a new approach and a tool to support such a deployment.","2375-0197","978-1-4244-8817-9","10.1109/ICTAI.2010.130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5670010","","Multiagent systems;Software;Hardware;Multi-stage noise shaping;Artificial intelligence;Computational modeling;Thermal degradation","","","","1","IEEE","17 Dec 2010","","","IEEE","IEEE Conferences"
"Supporting Adaptive Virtual Environments with Intelligent Agents","M. S. Aquino; F. F. d. Souza; D. A. C. M. de Souza; A. C. Frery; R. C. Fujioka","Universidade Federal de Campina Grande, Campina Grande, PB, BR; NA; Instituto de Computação, UFAL-Maceió, Alagoas, Brazil; UNIPE João Pessoa, Paraiba, Brazil; UNIPE João Pessoa, Paraiba, Brazil",Seventh International Conference on Intelligent Systems Design and Applications (ISDA 2007),"27 Nov 2007","2007","","","217","222","Adaptive Virtual Environments have been developed aiming at generating 3D environments adapted to user's necessities and interests. Navigation aid techniques and content adaptation improve user interaction in such environments. This article presents a system for supporting real time adaptive virtual environments. A multiagents architecture is used to manage contents updating in the virtual world according to user profile evolution. Its agents utilize the User Model, the Environment Model and a 3D objects database for decision-making on the necessary updating. A manager agent is responsible to accompany the user's actions through the user interface to collect information that may be used to update his/her profile. This agent also controls the communication between agents.","2164-7151","978-0-7695-2976-9","10.1109/ISDA.2007.75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4389611","","Virtual environment;Intelligent agent;Decision making;Communication system control;Intelligent sensors;Virtual reality;Intelligent systems;Positron emission tomography;Navigation;Real time systems","","1","","11","IEEE","27 Nov 2007","","","IEEE","IEEE Conferences"
"A fuzzy evolutionary approach for collaborative clustering in multi-agent systems with application to emergent virtual organizations","M. Ulieru","Electrical and Computer Engineering Department, University of Calgary, Canada",2002 IEEE World Congress on Computational Intelligence. 2002 IEEE International Conference on Fuzzy Systems. FUZZ-IEEE'02. Proceedings (Cat. No.02CH37291),"7 Aug 2002","2002","1","","197","202 vol.1","An approach to dynamic collaborative clustering in multi-agent systems is proposed. The approach determines the optimal configuration of an emergent virtual organization by clustering the best partners for each activity contributing towards the organizations' goal. The approach consists of two parts: 1) in a dynamic, ever expanding agent domain it performs an open evolutionary search for the best possible partners to be added to the organization; and 2) it uses fuzzy entropy minimization to continuously maintain the optimal configuration of the partnering agents in terms of their interactions to best fulfill the global goal of the organization.","","0-7803-7280-8","10.1109/FUZZ.2002.1004986","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1004986","","Fuzzy systems;Collaboration;Multiagent systems;Entropy;Application software;Fuzzy set theory;Minimization methods;Virtual enterprises;Measurement uncertainty","","1","2","12","IEEE","7 Aug 2002","","","IEEE","IEEE Conferences"
