"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Robust formation control of a class of multi-agent systems by output regulation approach","W. Sun; Y. Qiao; X. Suo","College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; College of Automation Science and Engineering, South China University of Technology, Guangzhou, China; College of Automation Science and Engineering, South China University of Technology, Guangzhou, China",Proceedings of the 10th World Congress on Intelligent Control and Automation,"24 Nov 2012","2012","","","1412","1417","In this paper, we study the robust formation control problem of a class of multi-agent systems based on the generalized internal model principle. We show that this problem finally boils down to a robust stabilization problem of a nonlinear system, the solution of which can be solved by using the existing robust stabilization technique. The efficiency of the proposed design method is verified by one typical formation control problem of multi-agent systems.","","978-1-4673-1398-8","10.1109/WCICA.2012.6358101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6358101","Nonlinear systems;Lyapunov;internal model;stabilization;dissipative","Robustness;Multiagent systems;Design automation;Trajectory;Lead;Mathematical model;Equations","","1","","30","IEEE","24 Nov 2012","","","IEEE","IEEE Conferences"
"Caribbean/Q: A Massively Multi-Agent Platform with Scenario Description Language","Y. Nakajima; H. Shiina; S. Yamane; H. Yamaki; T. Ishida","Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan","2006 Semantics, Knowledge and Grid, Second International Conference on","20 Aug 2012","2006","","","26","26","Making a truly useful massively multi-agent system is difficult since the actions of the full ensemble of agents cannot be controlled by designing just one agent. It is critical to control all the agents by using protocols that describe the interaction of agents and the environment in a top-down approach. We introduce a system that uses interaction protocol descriptions and has the capability of controlling hundreds of thousands of agents. This makes it feasible to realize a mega-scale navigation system that can assist the inhabitants of a small city. In developing a massively multiagent system, protocol design and agent development need to be separated to allow specialists to work in concert with one another while honing the different technologies. As a platform for mega-scale navigation system, we devise an architecture for multiagent platforms where the execution of agents scenario and the implementation of agents are explicitly separated. This paper also gives the evaluation and an application example using the platform.","","0-7695-2673-X","10.1109/SKG.2006.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5727663","","","","4","","8","IEEE","20 Aug 2012","","","IEEE","IEEE Conferences"
"A Robot Augmented Environment Based on ROS Multi-Agent Structure","S. Vorapojpisut; M. Lhongpol; R. Amornlikitsin; T. Phuapaiboon","Faculty of Engineering, Thammasat University, Pathumthani, Thailand; Faculty of Engineering, Thammasat University, Pathumthani, Thailand; Faculty of Engineering, Thammasat University, Pathumthani, Thailand; Faculty of Engineering, Thammasat University, Pathumthani, Thailand","2019 4th International Conference on Control, Robotics and Cybernetics (CRC)","9 Apr 2020","2019","","","52","56","This paper presents how to construct an augmented environment for a robot controller software. First, a multiagent software architecture based on the Robot Operating System (ROS) platform is purposed as a framework to superimpose real-world, virtual and software environments. Then, key settings in the ROS framework that affect the robot-environment interaction are discussed. To resolve such issues, message aggregation/dissemination in the proposed framework are implemented using the Simulink-based time-triggered architecture. Finally, a collision detection problem is demonstrated a built robot interacts with the proposed augmented environment.","","978-1-7281-4620-1","10.1109/CRC.2019.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058824","augmented environment, Robot Operating System, multi-agent structure, time-triggered architecture","Robot sensing systems;Software packages;Testing;Collision avoidance","","2","","11","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
"Disaster Assistance Intelligent Agent","S. Priyadarshi; M. Rastogi; D. R. V. M. Gayathri","Computer Science Engineering, SRM Institute of Science and Technology, Chennai, India; Computer Science Engineering, SRM Institute of Science and Technology, Chennai, India; Department of Networking With Comunication, SRM Institute of Science and Technology, Chennai, India",2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),"23 Nov 2023","2023","","","1","6","Virtual characters are controlled by artificial intelligence in video games and movies. Controlling these characters when they are surrounded by people is known as crowd simulation. In this work, we propose to employ intelligent agents and decision trees to simulate a realistic scenario in which our agent will lead the human behavioural AI and identify the best route to the goal or the best circumstances to the objective avoiding all the obstacles in the path. This crowd simulation will be used to make intelligent agents which can find the best path during the situation of any disaster and show humans the safest path which the humans can follow to get to the nearest safe points. Multiagent simulation, commonly referred to as a Crowd and Agent Simulation, is an approach used to simulate many people, animals or other characters interacting with each other in one place. These actors are expected to pursue their objectives, engage in the environment and coordinate with each other. It is expected that the simulated actors will pursue their goals, interact with the environment, and communicate among themselves. Crowd simulations find utility in various areas, including the enhancement of training environments and virtual worlds, the optimization of architectural planning, and the refinement of AI-driven characters' driving behaviors in video games and movies.","2473-7674","979-8-3503-3509-5","10.1109/ICCCNT56998.2023.10307140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10307140","Artificial Intelligent;Agent;Behavior Tree;Crowd Simulation","Training;Video games;Motion pictures;Real-time systems;Behavioral sciences;Planning;Intelligent agents","","","","10","IEEE","23 Nov 2023","","","IEEE","IEEE Conferences"
"Towards a Generic Approach for Analyzing the Efficiency of Complex Networks","K. H. van Dam; I. Nikolic; Z. Lukszo; G. P. J. Dijkema","Industry section of the Faculty of Technology, Delft University of Technnology, Delft, Netherlands; Faculty of Technology, Policy and Management, Delft, Netherlands; Faculty of Technology, Policy and Management, Delft, Netherlands; Faculty of Technology, Policy and Management, Delft, Netherlands","2006 IEEE International Conference on Networking, Sensing and Control","14 Aug 2006","2006","","","745","750","A generic multi-agent model of a process industry is presented. The model is based on the system decomposition of a chemical process industry sector. The resulting system description was translated to a suitable analogy: a production chain for chocolate bars. Using this analogy a game has been developed and played to elucidate and explain complexities and interdependencies in the corresponding industrial network. The concepts extracted during the process decomposition and the development of the game have been formalized in an ontology, which is a specification of concepts. This ontology serves as the foundation of the representation of reasoning, communications and transactions in our multi-agent system. A prototype generic multi-agent model has been implemented and developed in Repast to serve as a simulation engine for real process industries and other applications","","1-4244-0065-1","10.1109/ICNSC.2006.1673239","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1673239","Analysis;complexity;generic approach;infrastructures;modeling;ontologies;process industry;system thinking","Complex networks;Ontologies;Chemical processes;Chemical industry;Production systems;Bars;Toy industry;Multiagent systems;Virtual prototyping;Engines","","4","","9","IEEE","14 Aug 2006","","","IEEE","IEEE Conferences"
"Cooperative Multiagent Deep Reinforcement Learning for Computation Offloading in Digital Twin Cyber–Physical–Social System","Z. Peng; Y. Xu; R. Kang; Y. Liu; Y. Zhang","College of Cyber Science and Technology, Hunan University, Changsha, China; College of Cyber Science and Technology, Hunan University, Changsha, China; College of Cyber Science and Technology, Hunan University, Changsha, China; College of Cyber Science and Technology, Hunan University, Changsha, China; Department of Computer Science and Technology, BNRist, Tsinghua University, Beijing, China",IEEE Transactions on Computational Social Systems,"","2025","PP","99","1","11","The widespread deployment of edge computing infrastructures has greatly advanced cyber–physical–social systems (CPSSs) by enabling computation offloading for various applications. However, the heterogeneous nature of edge servers (ESs) and the single-destination offloading strategy may limit the overall network performance. In this case, tasks are exclusively handled by the administrative ES, resulting in only marginal improvements in service quality, such as energy consumption and task delay. To fully exploit the advantages of edge computing, this article investigates the cooperation among ESs within CPSS and proposes a cooperative algorithm, named MATORA, to exploit a further performance gain by calculating the task offloading and resource allocation decisions. First, we formulate the joint optimization problem as a time-varying mixed integer nonlinear programming problem; then, we utilize the multiagent deep reinforcement learning (MADRL) to learn the action policy. Second, the MATORA novelly builds reputation model for each ES to obtain insightful knowledge based on service quality, enhancing the training efficiency of MADRL. Thirdly, we simulate a digital twin-based virtual system to monitor the physical network, in which a risk-free, centralized training environment is provided for the multiagent algorithm. Finally, the simulation results and analysis directly validate the effectiveness of our algorithm.","2329-924X","","10.1109/TCSS.2025.3548476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10929016","Cooperative computation offloading;digital twin (DT);multiagent deep reinforcement learning (MADRL);reputation model","Computational modeling;Training;Edge computing;Digital twins;Resource management;Space vehicles;Performance gain;Heuristic algorithms;Delays;Collaboration","","","","","IEEE","17 Mar 2025","","","IEEE","IEEE Early Access Articles"
"Understanding the Interplay of Model Complexity and Fidelity in Multiagent Systems via an Evolutionary Framework","E. Lakshika; M. Barlow; A. Easton","School of Engineering and IT, University of New South Wales, Canberra, Australia; School of Engineering and IT, University of New South Wales, Canberra, Australia; Simcentric Technologies, Oxford, U.K.",IEEE Transactions on Computational Intelligence and AI in Games,"13 Sep 2017","2017","9","3","277","289","Modern video games come with highly realistic graphics enabling the players to interact with visually rich virtual worlds. Realistic (life-like) animation of nonplayer characters (NPCs) in such virtual worlds is particularly important to enhance the gaming experience. Multiagent systems are one effective approach to synthesize life-like behaviors and interactions by codifying simple rules into NPCs (each NPC as an autonomous agent). However, such behaviors generally come at the cost of increasing computational expense and complexity in terms of aspects such as number of rules and parameters. Therefore, the desire for high fidelity (highly realistic) behaviors is often in conflict with the drive for low complexity. Multiobjective evolutionary algorithms provide a sophisticated mechanism to optimize two or more conflicting objectives simultaneously. However, evolutionary computing techniques need an appropriate objective function to drive the exploration in the correct direction. Pairing of evolutionary techniques and multiagent systems is challenging in the classes of problems in which the fitness is evaluated based on human aesthetic judgment rather than on objective forms of measurements. In this study, we present a multiobjective evolutionary framework to evolve low complexity and high fidelity multiagent systems by utilizing a machine learning system trained by bootstrapping human aesthetic judgment. We have gathered empirical data in three problem areas-simulation of conversational group dynamics, sheepdog herding behaviors, and traffic dynamics, and show the effectiveness of our approach in deriving low complexity and high fidelity multiagent systems. Further, we have identified common properties of the Pareto-optimal frontiers in the three problem areas that can ultimately lead to an understanding of a relationship between simulation model complexity and behavior fidelity. This understanding will be useful in deciding which level of behavioral fidelity is required for the characters in video games based on the distance to the camera, importance to the scene, and available computational resources.","1943-0698","","10.1109/TCIAIG.2016.2560882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7463035","Complexity;fidelity;level of detail artificial intelligence (LOD AI);multiagent systems;multiobjective optimization","Complexity theory;Multi-agent systems;Optimization;Evolutionary computation;Computational modeling;Learning systems;Games","","12","","36","IEEE","29 Apr 2016","","","IEEE","IEEE Journals"
"Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach","H. N. Abishu; A. M. Seid; R. H. Jhaveri; T. R. Gadekallu; A. Erbad; M. Guizani","College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar; Department of Computer Science and Engineering, School of Technology, Pandit Deendayal Energy University, India; College of Mathematics and Computer Science, Zhejiang A&F University, Hangzhou, China; College of Engineering, Qatar University, Doha, Qatar; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, UAE",IEEE Transactions on Intelligent Vehicles,"","2024","PP","99","1","17","Vehicular edge computing (VEC) is a new paradigm in smart cities with the potential to provide and manage resources such as computing and storage closer to resourceconstrained smart vehicles (SV) to support ultra-reliable lowlatency communications and knowledge sharing. However, it is challenging to make optimal resource allocation and offloading decisions due to the mobility, ubiquitous communications, and diverse resource demands of SVs and the dynamic nature of the vehicular network topology. In this paper, we propose an adaptive resource allocation and task offloading scheme for HAPS-assisted Internet of Vehicle networks by exploiting the potential of digital twins (DT), blockchain, and federated multiagent deep reinforcement learning (FMADRL) technologies to address these issues. The DT network is utilized to intelligently monitor and control the demand and supply of resources in the digital representation of the physical operating environment. We adopt a dynamic pricing-based double auction to model the supplies and demands of resource providers and requesters. This enables resource providers and SVs to make adaptive and optimal resource allocation and task offloading decisions. In addition, we deploy a consortium blockchain to enable distributed and secure resource allocation. The resource allocation and task offloading multi-objective optimization problem is formulated as a multiagent extension of the Markov decision process and solved using an FMADRL-based multi-agent deep deterministic policy gradient (FMADDPG) algorithm. The numerical results show that the proposed scheme archives efficient resource allocation and maximizes the utility function while minimizing costs compared to the baseline schemes.","2379-8904","","10.1109/TIV.2024.3492015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10742925","Blockchain;digital twin;resource allocation;task offloading;smart vehicles;deep reinforcement learning;federated learning;double auction","Resource management;Computational modeling;Blockchains;Security;Vehicle dynamics;Real-time systems;Digital twins;Dynamic scheduling;Data privacy;Data models","","3","","","IEEE","5 Nov 2024","","","IEEE","IEEE Early Access Articles"
"Communication overlays and agents for dependable smart power grids","G. Deconinck; W. Labeeuw; S. Vandael; H. Beitollahi; K. De Craemer; R. Duan; Z. Qui; P. C. Ramaswamy; B. Vande Meerssche; I. Vervenne; R. Belmans","K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium; K. U. Leuven - ESAT - Electa, Leuven, Belgium",2010 5th International Conference on Critical Infrastructure (CRIS),"1 Nov 2010","2010","","","1","7","Smart grids rely on a dependable information infrastructure for the monitoring and control applications. Two elements can enhance the suitability of the communication and control infrastructure for such smart grid applications. Overlay networks allow to resiliently deal with nodes that appear and disappear, as well as with the dynamic nature of the power values these nodes represent in a smart grid. Agents-based modelling allows to simulate the smart grid applications in a scalable and flexible way before deployment. The paper discusses how both approaches can be combined for simulating a more dependable smart grid.","","978-1-4244-8081-4","10.1109/CRIS.2010.5617536","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5617536","smart grid;intelligent grid;multi-agent system;overlay networks;power systems","Optimization;Peer to peer computing;Smart grids;Electricity;Semantics;Multiagent systems;Generators","","21","","41","IEEE","1 Nov 2010","","","IEEE","IEEE Conferences"
"Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse","J. Kang; X. Luo; J. Nie; T. Wu; H. Zhou; Y. Wang; D. Niyato; S. Mao; S. Xie","School of Automation and the Guangdong Basic Research Center of Excellence for Ecological Security and Green Development, Key Laboratory for City Cluster Environmental Safety and Green Development of the Ministry of Education, Guangdong University of Technology, Guangzhou, China; School of Automation and the Guangdong-HongKong-Macao Joint Laboratory for Smart Discrete Manufacturing, Guangdong University of Technology, Guangzhou, China; College of Computing and Data Science, Nanyang Technological University, Jurong West, Singapore; School of Automation and the Key Laboratory of Intelligent Information Processing and System Integration of IoT, Ministry of Education, Guangdong University of Technology, Guangzhou, China; School of Electronic Science and Engineering, Nanjing University, Nanjing, China; School of Automation and the Key Laboratory of Intelligent Detection and IoT in Manufacturing, Ministry of Education, Guangdong University of Technology, Guangzhou, China; College of Computing and Data Science, Nanyang Technological University, Jurong West, Singapore; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; School of Automation and the 111 Center for Intelligent Batch Manufacturing Based on IoT Technology, Guangdong University of Technology, Guangzhou, China",IEEE Internet of Things Journal,"25 Oct 2024","2024","11","21","34254","34269","Driven by the great advances in metaverse and edge computing technologies, vehicular edge metaverses are expected to disrupt the current paradigm of intelligent transportation systems. As highly computerized avatars of vehicular metaverse users (VMUs), the vehicle twins (VTs) deployed in edge servers can provide valuable metaverse services to improve driving safety and on-board satisfaction for their VMUs throughout journeys. To maintain uninterrupted metaverse experiences, VTs must be migrated among edge servers following the movements of vehicles. This can raise concerns about privacy breaches during the dynamic communications among vehicular edge metaverses. To address these concerns and safeguard location privacy, pseudonyms as temporary identifiers can be leveraged by both VMUs and VTs to realize anonymous communications in the physical space and virtual spaces. However, existing pseudonym management methods fall short in meeting the extensive pseudonym demands in vehicular edge metaverses, thus dramatically diminishing the performance of privacy preservation. To this end, we present a cross-metaverse empowered dual pseudonym management framework. We utilize cross-chain technology to enhance management efficiency and data security for pseudonyms. Furthermore, we propose a metric to assess the privacy level and employ a multiagent deep reinforcement learning (MADRL) approach to obtain an optimal pseudonym generating strategy. Numerical results demonstrate that our proposed schemes are high-efficiency and cost-effective, showcasing their promising applications in vehicular edge metaverses.","2327-4662","","10.1109/JIOT.2024.3404559","National Natural Science Foundation of China(grant numbers:62102099,U22A205,6197114); Guangdong Provincial Pearl River Talents Program(grant numbers:2021QN02S643); Guangzhou Basic Research Program(grant numbers:2023A04J1699); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2023A1515011888); National Research Foundation, Singapore; Infocomm Media Development Authority under its Future Communications Research and Development Programme; Defence Science Organisation (DSO) National Laboratories under the AI Singapore Programme(grant numbers:AISG2-RP-2020-019,FCP-ASTAR-TG-2022-003); Singapore Ministry of Education (MOE) Tier 1(grant numbers:RG87/22); NSF(grant numbers:CNS-2148382); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10537999","Cross-chain;deep reinforcement learning;pseudonym management;twin migration;vehicular metaverse","Metaverse;Privacy;Measurement;Servers;Automation;Protection;Laboratories","","11","","37","IEEE","23 May 2024","","","IEEE","IEEE Journals"
