"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Multi-agent System for Dynamic Path Planning","M. C. Silva; A. C. B. Garcia; A. Conci","Instituto de Computação, Universidade Federal Fluminense, Niterói, Brasil; NA; Instituto de Computação, Universidade Federal Fluminense, Niterói, Brasil",2010 Second Brazilian Workshop on Social Simulation,"29 Sep 2011","2010","","","47","51","Escape route planning in emergency situations generates interest among researches in many different areas. Computer Science contributes to this by developing simulations of real world situations. An escape route can be regarded as a weighted graph where the labels associated with its edges are determined by the distance between two connected vertexes. Hence, given a starting vertex, it is possible to obtain the minimum path to one exit in the environment. Classical algorithms, such as Dijkstra's, can solve this problem. However, when the environment changes in real time, this class of algorithms is not efficient. Using Multi-agent Systems to solve this problem dynamically seems to be a good approach to plan escape routes in real time, given new information about the environment when modification are detected. This research exposes this approach, implementing a multi agent communication system in a 3D virtual environment.","","978-0-7695-4471-7","10.1109/BWSS.2010.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6030013","Multi-agent Systems;Route Planning;Dijkstra's Algorithm;FIPA-OS;VRML","Solid modeling;Virtual environments;Real time systems;Humans;Three dimensional displays;Servers;Multiagent systems","","2","","12","IEEE","29 Sep 2011","","","IEEE","IEEE Conferences"
"An intent-driven planner for multi-agent story generation","M. O. Riedl; R. M. Young","Liquid Narrative Group, Department of Computer Science, North Carolina State University, Raleigh, NC, USA; Liquid Narrative Group, Department of Computer Science, North Carolina State University, Raleigh, NC, USA","Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems, 2004. AAMAS 2004.","2 May 2005","2004","","","186","193","","","1-58113-864-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1373478","","Character generation;Computer science;Computer science education;Process planning;Humans;Engines","","5","1","21","","2 May 2005","","","IEEE","IEEE Conferences"
"Proposta de Agente autônomo utilizando as técnicas de mineração de processos em uma Arquitetura Virtual baseada em Sistemas Multiagentes","L. P. de Souza; P. Javier Igei Kaneshiro; O. L. Asato; F. Yastami Nakamoto","Instituto Federal de Educação Ciência e Tecnologia de São Paulo, São Paulo, S.P., Brasil; Instituto Federal de Educação Ciência e Tecnologia de São Paulo, Guarulhos, S.P., Brasil; Instituto Federal de Educação Ciência e Tecnologia de São Paulo, Suzano, S.P., Brasil; Instituto Federal de Educação Ciência e Tecnologia de São Paulo, São Paulo, S.P., Brasil",2021 14th IEEE International Conference on Industry Applications (INDUSCON),"10 Sep 2021","2021","","","702","709","The increase of complexity in control production systems, currently requires more flexible and adaptable architectures to comply with demands during runtime. In this way, to apply the concepts of Industry 4.0 around the process management will have a significant impact on the added value, effectiveness and efficiency of the organizations involved with production. Therefore, the purpose of this research is to present an architecture proposal that uses the concept of Process Mining to enable the delivery, automatically, the improvement indicators, such as: reduction of machine downtime, readjustment of the production flow, maintenance costs and assertiveness in fault detection and prediction. This approach foresees the use of a distributed architecture, adhering to the RAMI 4.0 architecture. The advantage of this architecture is the flexibility and distributed e multi-agent control systems. Another advantage is the integration of the physical world and the virtual world with the concept of CPPS (Cyber-Physical Production Systems), thus, bringing flexibility, interoperability and adaptability, that are necessary for the production system.","","978-1-6654-4118-6","10.1109/INDUSCON51756.2021.9529912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9529912","Process Mining;CPPS;Agents;Multiagent System","Production systems;Runtime;Costs;Fault detection;Conferences;Organizations;Maintenance engineering","","1","","29","IEEE","10 Sep 2021","","","IEEE","IEEE Conferences"
"Intrusion detection algorithm in Smart Environments featuring activity footprints approach","A. Forestiero","Institute for High Performance Computing and Networking CNR - ICAR, Rende, Italy",2020 IEEE Third International Conference on Artificial Intelligence and Knowledge Engineering (AIKE),"19 Feb 2021","2020","","","134","137","Discovering anomalous data or behaviors is fundamental to obtain critical security information such as intrusion detections, faults and system failures. The limited resources, like computing and storage, make conventional techniques to design Intrusion Detection Systems (IDS) not particularly suitable for smart environments. This paper proposes a novel multiagent algorithm leveraging on devices activity footprints for intrusion detection in Internet of Things environment. Smart objects are mapped with real-valued vectors obtained through the IoT2Vec model, a word embedding technique able to capture the semantic context of device activities and represent these ones in dense vectors. The vectors are assigned to agents, which are spread onto a 2D virtual space, where they move following the rules of a bio-inspired model, the flocking model. A similarity function, applied to the associated vectors, drives the agents for a selective application of the movement rules. The outcome is the emergence of agent groups aggregated on the basis of the activities of their associated devices. Thus, it is possible to easily individuate isolated agents (i.e. devices with dissimilar activity from all), representing potential intruders or with anomalous behaviors to be monitored. Preliminary results confirm the validity of the approach.","","978-1-7281-8708-2","10.1109/AIKE48582.2020.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355441","Intrusion detection;Activity footprints;Multiagent systems;Smart Environments","Biological system modeling;Heuristic algorithms;Two dimensional displays;Semantics;Intrusion detection;Security;Smart devices","","4","","13","IEEE","19 Feb 2021","","","IEEE","IEEE Conferences"
"Speculative planning with delegation","T. Abaci; J. Ciger; D. Thalmann","VRLab., Ecole Polytech. Fed. de Lausanne, Switzerland; VRLaboratory, Swiss Federal Institute of Technology, Lausanne, Switzerland; VRLaboratory, Swiss Federal Institute of Technology, Lausanne, Switzerland",2004 International Conference on Cyberworlds,"27 Dec 2004","2004","","","100","106","This paper presents a novel method of collaborative problem solving for intelligent agents in virtual environments. We describe a planner for STRIPS-like domains enhanced by techniques of ""delegated computing"". Instead of having one central planner with complete information about the world, the concept of delegation is used. In this way, we achieve agent collaboration in a dynamic system, where each of the agents has its own partial plan, but the plans are implicitly coordinated towards a common goal. We demonstrate these techniques in a virtual reality simulation with virtual humans solving a logistical problem.","","0-7695-2140-1","10.1109/CW.2004.57","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1366160","","Collaborative work;Collaboration;Virtual reality;Intelligent agent;Virtual environment;Humans;Medical control systems;Multiagent systems;Artificial intelligence;Air traffic control","","3","","24","IEEE","27 Dec 2004","","","IEEE","IEEE Conferences"
"A multi agent system for 3D media spaces assistance","T. A. Tavares; S. A. Oliveira; A. Canute; L. M. Goncalves; G. S. Filho","Universidade Salvador UNIFACS NUPERC; Universidade Federal do Rio Grande do Norte, Brazil; NA; Universidade Federal do Rio Grande do Norte, Brazil; Universidade Federal da Paraiba, Brazil",Third Latin American Web Congress (LA-WEB'2005),"6 Mar 2006","2005","","","10 pp.","","Nowadays we have several cultural spaces accessible in the Internet. These synthetic worlds mix different medias (text, audio, image, video) and attractive user interface resources (as 3D ones). Not closed to presentation environments these applications offer to user other facilities: personalization, interactive views, additional information and communication tools. In this paper we describe a multi-agent architecture used to enhance 3D media spaces assistance. Our proposal is based on a 3D environment where users are represented by avatars. Each avatar has a personal agent that captures all the relevant user actions. We also have other types of agents, which are responsible for providing communication services. Also, we present a case study showing how these concepts were implemented in the ICSpace (Internet cultural space) environment.","","0-7695-2471-0","10.1109/LAWEB.2005.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1592373","","Multiagent systems;Internet;Cultural differences;Global communication;Virtual reality;Avatars;User interfaces;Proposals;Space technology;Information technology","","","","23","IEEE","6 Mar 2006","","","IEEE","IEEE Conferences"
"A study of evolutionary multiagent models based on symbiosis","T. Eguchi; K. Hirasawa; J. Hu; N. Ota","Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan; Graduate School of Information, Production and Systems, Waseda University, Fukuoka, Japan","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","23 Jan 2006","2006","36","1","179","193","Multiagent Systems with Symbiotic Learning and Evolution (Masbiole) has been proposed and studied, which is a new methodology of Multiagent Systems (MAS) based on symbiosis in the ecosystem. Masbiole employs a method of symbiotic learning and evolution where agents can learn or evolve according to their symbiotic relations toward others, i.e., considering the benefits/losses of both itself and an opponent. As a result, Masbiole can escape from Nash Equilibria and obtain better performances than conventional MAS where agents consider only their own benefits. This paper focuses on the evolutionary model of Masbiole, and its characteristics are examined especially with an emphasis on the behaviors of agents obtained by symbiotic evolution. In the simulations, two ideas suitable for the effective analysis of such behaviors are introduced; ""Match Type Tile-world (MTT)"" and ""Genetic Network Programming (GNP)"". MTT is a virtual model where tile-world is improved so that agents can behave considering their symbiotic relations. GNP is a newly developed evolutionary computation which has the directed graph type gene structure and enables to analyze the decision making mechanism of agents easily. Simulation results show that Masbiole can obtain various kinds of behaviors and better performances than conventional MAS in MTT by evolution.","1941-0492","","10.1109/TSMCB.2005.856720","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1580628","Evolutionary computation;multiagent systems;symbiosis;tile-world","Symbiosis;Evolution (biology);Multiagent systems;Ecosystems;Computational modeling;Analytical models;Economic indicators;Evolutionary computation;Decision making;Centralized control","Algorithms;Artificial Intelligence;Biomimetics;Computer Simulation;Decision Support Techniques;Evolution;Models, Theoretical;Pattern Recognition, Automated;Symbiosis","157","","27","IEEE","23 Jan 2006","","","IEEE","IEEE Journals"
"Multi-agent simulation for crisis management","Y. Murakami; K. Minami; T. Kawasoe; T. Ishida","Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan; Department of Social Informatics, Kyoto University, Japan",Proceedings. IEEE Workshop on Knowledge Media Networking,"6 Jan 2003","2002","","","135","139","Traditional crowd simulators are based on a simple numerical analysis of inputs such as the positions of people and structures; they do not consider leadership. Since leaders (in terms of evacuations) are present in many real-world situations, the validity of evacuation simulations can be increased through their introduction. We assess the results of a real-world evacuation experiment to develop more realistic scenarios for simulation. The simulations produced by the improved scenarios are found to closely mimic the experimental results. This work shows that scenario-based agent systems such as FlatWalk and FreeWalk offer excellent promise in simulating evacuations more realistically.","","0-7695-1778-1","10.1109/KMN.2002.1115175","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1115175","","Crisis management;Fires;Humans;Analytical models;Numerical analysis;Rail transportation;Costs;Multiagent systems;Avatars;Informatics","","36","","8","IEEE","6 Jan 2003","","","IEEE","IEEE Conferences"
"Multiagent-based security for the wireless LAN","H. M. Faheem","Faculty of computer and information sciences in Ain Shams University, KSA",IEEE Potentials,"11 Jul 2005","2005","24","2","19","22","Wireless local area networks (WLANs) are being deployed in enterprises all over the world. Enterprises recognize the value of wireless networks and arc using this technology to increase workforce productivity and improve customer service. However, WLANs are plagued with security and management vulnerabilities (insertion attacks, interception and monitoring wireless traffic, misconfiguration, jamming, and client to client attacks) that threaten more widespread acceptance. A multiagent-based system for WLAN security has been introduced. The proposed system directs the operations of the WLAN security products for use in WLAN vulnerability checks and responds quickly to security demands/threats. The purpose is to provide a way to inspect the enforcement of the WLAN security policy and to provide the administrators with an efficient way to revise any steps to ensure a powerful security scheme for their wireless networks.","1558-1772","","10.1109/MP.2005.1462461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1462461","","Wireless LAN;Communication system security;Power system security;Base stations;Cryptography;Authentication;Wireless networks;Filtering;Telecommunication traffic;Virtual private networks","","5","","6","IEEE","11 Jul 2005","","","IEEE","IEEE Magazines"
"A Decentralized Approach for Anticipatory Vehicle Routing Using Delegate Multiagent Systems","R. Claes; T. Holvoet; D. Weyns","DistriNet Laboratory, Department of Computer Science, Katholieke Universiteit Leuven, Leuven, Belgium; DistriNet Laboratory, Department of Computer Science, Katholieke Universiteit Leuven, Leuven, Belgium; DistriNet Laboratory, Department of Computer Science, Katholieke Universiteit Leuven, Leuven, Belgium",IEEE Transactions on Intelligent Transportation Systems,"31 May 2011","2011","12","2","364","373","Advanced vehicle guidance systems use real-time traffic information to route traffic and to avoid congestion. Unfortunately, these systems can only react upon the presence of traffic jams and not to prevent the creation of unnecessary congestion. Anticipatory vehicle routing is promising in that respect, because this approach allows directing vehicle routing by accounting for traffic forecast information. This paper presents a decentralized approach for anticipatory vehicle routing that is particularly useful in large-scale dynamic environments. The approach is based on delegate multiagent systems, i.e., an environment-centric coordination mechanism that is, in part, inspired by ant behavior. Antlike agents explore the environment on behalf of vehicles and detect a congestion forecast, allowing vehicles to reroute. The approach is explained in depth and is evaluated by comparison with three alternative routing strategies. The experiments are done in simulation of a real-world traffic environment. The experiments indicate a considerable performance gain compared with the most advanced strategy under test, i.e., a traffic-message-channel-based routing strategy.","1558-0016","","10.1109/TITS.2011.2105867","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5730496","Autonomous agents;distributed control;intelligent vehicles;mobile agents;multiagent systems;navigation;software architecture;traffic control","Vehicles;Roads;Routing;Urban areas;Virtual environment;Driver circuits","","170","","29","IEEE","14 Mar 2011","","","IEEE","IEEE Journals"
