"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The potential of multi-agent systems in virtual manufacturing enterprises","C. Roche; S. Fitouri; R. Glardon; M. Pouly","LGIS-Scientific Park, Savoie University, Le Bourget-du-lac, France; LGPP Laboratory for production management and processes, Swiss Federal Institute of Technology, Lausanne, Switzerland; LGPP Laboratory for production management and processes, Swiss Federal Institute of Technology, Lausanne, Switzerland; LGPP Laboratory for production management and processes, Swiss Federal Institute of Technology, Lausanne, Switzerland",Proceedings Ninth International Workshop on Database and Expert Systems Applications (Cat. No.98EX130),"6 Aug 2002","1998","","","913","918","Manufacturers operate today in a constantly moving market, characterized by short product life cycles and increased demand for flexibility. In the same way, the ability to respond rapidly to changing market opportunities by quickly providing the required combination of design and manufacturing capabilities becomes a key issue to maintain competitively. In this context, the concept of virtual enterprise takes an increasing importance in supporting future business engagements and fulfilling technology requirements. As short-term consortia of companies to address fast changing opportunities, the virtual enterprise may be modeled by a multi-agent system representation. Such an approach allows modeling the heterogeneous actors of the real world in terms of agents, focusing on communication and collaboration between them. The feasibility of the multi-agent approach has already been demonstrated in the manufacturing and financial fields. This paper shows how a multi agent approach may be used in the modeling of virtual enterprises. An example of an agent, the ""controller agent"", will be described in details. The multi-agent system used, called PVS98, has been developed in the framework of an Eureka project. It relies on a KQML-like architecture and on an enterprise ontology.","","0-8186-8353-8","10.1109/DEXA.1998.707514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707514","","Multiagent systems;Virtual manufacturing;Virtual enterprises;Market opportunities;Companies;Electrical capacitance tomography;Laboratories;Production management;Manufacturing processes;Collaboration","","4","","20","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"The distributed simulation of RoboCup Rescue version 1","T. Koto; I. Takeuchi","University of Electro-Communications, Chofu, Tokyo, Japan; University of Electro-Communications, Chofu, Tokyo, Japan",Proceedings of the 41st SICE Annual Conference. SICE 2002.,"29 Apr 2003","2002","2","","871","874 vol.2","Integrated disaster simulation systems are important tools to decrease the damage from various disasters. The paper describes the version 1 of the RoboCup Rescue simulation system, which integrates sub-simulators such as a seismic intensity simulator and a fire simulator, and divides, for scalability, the simulated world into a number of local regions, each of which is simulated by one computer in a cluster.","","0-7803-7631-5","10.1109/SICE.2002.1195274","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195274","","Computational modeling;Computer simulation;Fires;Kernel;Traffic control;Scalability;Discrete event simulation;Urban planning;Multiagent systems;Virtual prototyping","","1","","5","","29 Apr 2003","","","IEEE","IEEE Conferences"
"Multiagent trust management of web services: the “asynchronous computing environment profile unification methodology” (acepum)","K. A. Abuosba","Ted Rogers School of Information Technology Management, Ryerson University, Toronto, Canada",2015 World Congress on Internet Security (WorldCIS),"18 Feb 2016","2015","","","55","59","Web services are considered as a major challenge for the information technology industry as they emerge from integration of several technologies adaptable within different architectures and platforms. Web Services are deployed within heterogeneous distributed environments; specifically B-2-B interactions are considered as critical-mission processes and services, the main goal for these processes is to provide a secured inter-organizational computing environment. Ion the web, we deploy web services on the web for the purpose of achieving reusability, interoperability, and standards utilization. Web services are based on interactions of peers where loosely coupled systems interact in anonymous computing environments. The environments of web services are considered more vulnerable to faults and incidents than tightly coupled services. In this paper; I introduce a token-based methodology which is utilized for the purpose of achieving trust between end points of communication. I introduce the Asynchronous Computing Environment Profile Unification Methodology (ACEPUM) as a vulnerability reduction methodology which audits the environment profile variables; this approach introduces several levels of trust management routines that addresses different aspects of security requirements.","","978-1-908320-50-6","10.1109/WorldCIS.2015.7359413","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359413","trust management;SOA;web services;methodology","Web services;Collaboration;Protocols;Authorization;Classification algorithms","","","","19","","18 Feb 2016","","","IEEE","IEEE Conferences"
"Can Artificial Life Emerge in a Network of Interacting Agents?","V. K. Murthy; E. V. Krishnamurthy","R.M.LT., School of Business Technology, Melbourne, Victoria, Australia; 2Computer Sciences Laboratory, The Australian National University, Canberra, Australia",2006 IEEE International Conference on Fuzzy Systems,"11 Sep 2006","2006","","","106","113","An interacting multi-agent system in a network can behave like a nature-inspired smart system (SS) exhibiting the four salient properties of an artificial life system (ALS): (i) Collective, coordinated and efficient (ii) Self-organization and emergence (iii) Power law scaling or scale invariance under emergence (iv) Adaptive, fault tolerant and resilient against damage. We explain how these basic properties can arise among agents through random enabling, inhibiting, preferential attachment and growth of a multiagent system. However,the quantitative understanding of a Smart system with an arbitrary interactive topology is extremely difficult. Hence we cannot design a general purpose programmable Smart system. However, for specific applications and a predefined static interactive topology among the agents, the quantitative parameters can be obtained through simulation to build a specific SS.","1098-7584","0-7803-9488-7","10.1109/FUZZY.2006.1681702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1681702","","Intelligent networks;Australia;Topology;Physics;Entropy;Laboratories;Fault tolerant systems;Multiagent systems;Condition monitoring;Intelligent sensors","","1","","31","IEEE","11 Sep 2006","","","IEEE","IEEE Conferences"
"Grid as Human's Assistant: A Logical Solution Provider for Physical Problems","U. Farooq; W. Khalil","Department of Computer Science, University of Peshawar, Pakistan; Department of Computer Science, University of Peshawar, Peshawar, Pakistan",International Symposium on Collaborative Technologies and Systems (CTS'06),"26 Jun 2006","2006","","","312","317","This paper presents theoretical foundations of a new vision regarding virtual organizations. The proposed vision exploits the concept of virtual organizations for the solution of human centered problems; mostly exist and solved in physical world in physical manner. The idea facilitates a user by providing complete logical solution (s) for an initiated problem. The idea pinpoints the need for the participation of different business organizations in a problem solution; as total requirements might not be available in a single organization or a user might not favor all resources of a single organization. This paper presents a contemporary view for the creation of virtual organization over grid infrastructure to assist humans in the solution of hard problems in terms of time, selection and integration. Proposed context of virtual organization believes in the construction of MAS environment. The proposed idea is equipped with a layered architecture for the construction of virtual organizations; a point missing in conventional MAS environments.","","0-9785699-0-3","10.1109/CTS.2006.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1644151","Virtual Organization;OGSA;(Open Grid Services Architecture);OGSI (Open;Grid Services Infrastructure);WS-Resource;Framework;Agent;MAS (Multiagent System)","Grid computing;Collaboration;Resource management;Computer science;Humans;Computer architecture;Power engineering computing;Scheduling;Geographic Information Systems;Educational institutions","","1","","25","IEEE","26 Jun 2006","","","IEEE","IEEE Conferences"
"Application of the multi-agent approach in responsive manufacturing modeling","Zhou Zhihong; Wang Changbo; Yin Hong","Department of Information, Science&Electronics Enaineerinp, University of Zhejiang, Hongzhou, China; State Key Laboratory of CAD&CG, University of Zhejiang, Hangzhou, China; Institute of Systems Engineering, Wuhan University of China, Wuhan, China",Fifth World Congress on Intelligent Control and Automation (IEEE Cat. No.04EX788),"18 Oct 2004","2004","3","","2785","2789 Vol.3","This paper describes a responsive manufacturing system based on a heterogeneous hierarchy of agents of three types that reflect the managerial structure of manufacturing enterprises. The system is not only capable of responding rapidly to dynamic changes to fulfil customer needs but enable the utilization of manufacturing resources to be dynamically optimized. In addition, to improve the system efficiency, this paper also introduces a called qua-base acquaintance model which might facilitate the multi-agent internal communication.","","0-7803-8273-0","10.1109/WCICA.2004.1342107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1342107","","Virtual manufacturing;Manufacturing systems;Pulp manufacturing;Multiagent systems;Collaboration;Production planning;Autonomous agents;Job shop scheduling;Optimal scheduling;Power system modeling","","","","8","IEEE","18 Oct 2004","","","IEEE","IEEE Conferences"
"Service-Oriented E-Learning Architecture Using Web Service-Based Intelligent Agents","N. Hussain; M. K. Khan","Department of Computer Science, PAF-KIET, Karachi, Pakistan; Department of Computer Science, PAF-KIET, Karachi, Pakistan",2005 International Conference on Information and Communication Technologies,"27 Feb 2006","2005","","","137","143","There is no doubt that e-learning has found its way in our lives. From the very start to the Ph.D. level one can find e-learning courses every where and all the big names are supporting it. One thing that is needed to be understood is that e-learning is basically the integration of various technologies. Now this technology is maturing and we can find different standards for e-learning .New technologies such as agents and web services are promising better results. In this paper we have proposed an e-learning architecture that is dependent on multi-agent systems and web services. These communication technologies will make the architecture more robust, scalable and efficient.","","0-7803-9421-6","10.1109/ICICT.2005.1598570","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598570","","Electronic learning;Service oriented architecture;Intelligent agent;Web services;Internet;Web sites;Simple object access protocol;Packaging;Data models;Multiagent systems","","11","","9","IEEE","27 Feb 2006","","","IEEE","IEEE Conferences"
"Animating groups of Socially Intelligent Agents","F. Grimaldo; M. Lozano; F. Barber; G. Vigueras","Computer Science Department, University of Valencia, Valencia, Spain; Computer Science Department, University of Valencia, Valencia, Spain; Computer Science Department, University of Valencia, Valencia, Spain; Computer Science Department, University of Valencia, Valencia, Spain",2007 International Conference on Cyberworlds (CW'07),"4 Dec 2007","2007","","","136","143","This paper presents a multi-agent framework oriented to animate groups of synthetic humans that properly balance task-oriented and social behaviors. We mainly focus on the social model designed for BDI-agents to display socially acceptable decisions. This model is based on an auction mechanism used to coordinate the group activities derived from the character's roles. The model also introduces reciprocity relations between the members of a group and allows the agents to include social tasks to produce realistic behavioral animations. Furthermore, a conversational library provides the set of plans to manage social interactions and to animate from simple chats to more complex negotiations. The framework has been successfully tested in a 3D dynamic environment while simulation a virtual university bar, where groups of waiters and customers can interact and finally display complex social behaviors (e.g. task passing, reciprocity, planned meetings...).","","978-0-7695-3005-5","10.1109/CW.2007.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4390913","","Animation;Intelligent agent;Humans;Multiagent systems;Testing;Three dimensional displays;Decision making;Computer science;Computer displays;Libraries","","4","","25","IEEE","4 Dec 2007","","","IEEE","IEEE Conferences"
"Development of crop-simulation multiagent system for smart digital twin of plant","P. Skobelev; A. Tabachinskiy; E. Simonova; O. Goryanin","Institute of Automation and Information Technologies, Samara State Technical University, Samara, Russia; Institute of Automation and Information Technologies, Samara State Technical University, Samara, Russia; Institute of Informatics and Cybernetics, Samara National Research University, Samara, Russia; Digital Twin laboratory, Samara Federal Research Center, Samara, Russia",2022 VIII International Conference on Information Technology and Nanotechnology (ITNT),"18 Aug 2022","2022","","","1","8","The paper discusses development of the smart digital twin of plant (SDTP) as an intelligent cyber-physical system that includes an open knowledge base and a multi-agent subsystem for planning and discrete-event modeling of plant growth and development, as well as forecasting crop parameters based on the knowledge of agronomists, which can be supplemented with sensors and plant growth management mechanisms. SDTP functions should provide continuous adaptive adjustment of the plant development plan for each specific field, depending on the changes in external conditions, so that the discrepancy between each digital crop models and the real crops is minimal. SDTP is designed to systematize and formalize expert empirical data of agronomists on the stages of plant growth and development and yield forecast. Currently, SDTP is implemented as a web service that integrates various data sources from the fields and plants, and provides users with a possibility to track the state of real plants, predict and simulate plant condition.","","978-1-6654-8571-5","10.1109/ITNT55410.2022.9848748","Russian Science Foundation(grant numbers:22-41-08003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9848748","precision farming;plant cultivation;digital twin;multi-agent technology;knowledge base;ontology","Adaptation models;Web services;Soft sensors;Crops;Predictive models;Sensor systems;Digital twins","","8","","23","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"A hybrid dynamical systems approach to intelligent low-level navigation","E. Aaron; H. Sun; F. Ivancic; D. Metaxas","Department of Computer and Information Science, University of Pennsylvania, Australia; CBIM Center, Division of Computer and Information Sciences, Rutgers University, USA; Department of Computer and Information Science, University of Pennsylvania, Australia; CBIM Center, Division of Computer and Information Sciences, Rutgers University, USA",Proceedings of Computer Animation 2002 (CA 2002),"7 Aug 2002","2002","","","154","163","Animated characters may exhibit several kinds of dynamic intelligence when performing low-level navigation (i.e., navigation on a local perceptual scale): they decide among different modes of behavior selectively discriminate entities in the world around them, perform obstacle avoidance, etc. In this paper we present a hybrid dynamical system model of low-level navigation that accounts for the above-mentioned kinds of intelligence. In so doing, the model illustrates general ideas about how a hybrid systems perspective can influence and simplify such reactive/behavioral modeling for multi-agent systems. In addition, we directly employed our formal hybrid system model to generate animations that illustrate our navigation strategies. Overall, our results suggest that hierarchical hybrid systems may provide a natural framework for modeling elements of intelligent animated actors.","1087-4844","0-7695-1594-0","10.1109/CA.2002.1017525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1017525","","Hybrid intelligent systems;Navigation;Animation;Sun;Information science;Multiagent systems;Hybrid power systems;Computational modeling;Intelligent agent","","7","1","29","IEEE","7 Aug 2002","","","IEEE","IEEE Conferences"
